customer_id,company_name,industry,mrr,contract_start,contract_end,plan,account_owner,health_score
C001,Acme Corp,Manufacturing,8500,2023-03-15,2026-03-14,Enterprise,E014,85
C002,TechStart Inc,Technology,3200,2023-06-01,2025-05-31,Professional,E014,45
C003,Global Logistics,Transportation,12000,2024-01-10,2027-01-09,Enterprise,E014,92
C004,FinanceFirst,Financial Services,15000,2023-09-01,2026-08-31,Enterprise,E014,78
C005,RetailMax,Retail,4500,2024-03-20,2025-03-19,Professional,E015,62
C006,HealthPlus,Healthcare,6800,2024-05-15,2025-05-14,Professional,E015,38
C007,EduLearn,Education,2100,2024-07-01,2025-06-30,Starter,E015,71
C008,BuildRight,Construction,5500,2024-08-10,2025-08-09,Professional,E015,55
C009,MediaGroup,Media,9200,2023-11-01,2025-10-31,Enterprise,E014,88
C010,CloudNine,Technology,7300,2024-02-15,2026-02-14,Enterprise,E014,81
C011,FoodChain,Food & Beverage,3800,2024-09-01,2025-08-31,Professional,E015,69
C012,LegalEase,Legal,11000,2024-04-01,2027-03-31,Enterprise,E014,94
C013,SportsFan,Entertainment,2800,2024-10-15,2025-10-14,Starter,E015,52
C014,GreenEnergy,Energy,8900,2024-06-01,2026-05-31,Enterprise,E014,76
C015,AutoDrive,Automotive,6200,2024-11-01,2025-10-31,Professional,E015,41
